Name,Debut,Final,Position,Height,Weight,Birthday,School,HOF,Active,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,Player_ID,Image_URL
Alaa Abdelnaby,1991,1995,"['Forward', 'Center']",82,240.0,"June 24, 1968",['Duke'],False,False,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8,76001,https://cdn.nba.com/headshots/nba/latest/1040x760/76001.png
Zaid Abdul-Aziz,1969,1978,"['Center', 'Forward']",81,235.0,"April 7, 1946",['Iowa State'],False,False,505,9.0,8.0,1.2,42.8,,72.8,,15.1,17.5,76002,https://cdn.nba.com/headshots/nba/latest/1040x760/76002.png
Kareem Abdul-Jabbar,1970,1989,['Center'],86,225.0,"April 16, 1947",['UCLA'],True,False,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,76003,https://cdn.nba.com/headshots/nba/latest/1040x760/76003.png
Mahmoud Abdul-Rauf,1991,2001,['Guard'],73,162.0,"March 9, 1969",['LSU'],False,False,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,51,https://cdn.nba.com/headshots/nba/latest/1040x760/51.png
Tariq Abdul-Wahad,1998,2003,['Forward'],78,223.0,"November 3, 1974","['Michigan', ' San Jose State']",False,False,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,1505,https://cdn.nba.com/headshots/nba/latest/1040x760/1505.png
Shareef Abdur-Rahim,1997,2008,['Forward'],81,225.0,"December 11, 1976",['California'],False,False,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2,949,https://cdn.nba.com/headshots/nba/latest/1040x760/949.png
Tom Abernethy,1977,1981,['Forward'],79,220.0,"May 6, 1954",['Indiana'],False,False,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4,76005,https://cdn.nba.com/headshots/nba/latest/1040x760/76005.png
Forest Able,1957,1957,['Guard'],75,180.0,"July 27, 1932",['Western Kentucky'],False,False,1,0.0,1.0,1.0,0.0,,,,-41.5,0.0,76006,https://cdn.nba.com/headshots/nba/latest/1040x760/76006.png
John Abramovic,1947,1948,['Forward'],75,195.0,"February 9, 1919",['Salem University'],False,False,56,9.5,,0.7,23.7,,68.6,,,-1.9,76007,https://cdn.nba.com/headshots/nba/latest/1040x760/76007.png
Álex Abrines,2017,2019,"['Guard', 'Forward']",78,200.0,"August 1, 1993",,False,False,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0,203518,https://cdn.nba.com/headshots/nba/latest/1040x760/203518.png
Precious Achiuwa,2021,2025,['Forward'],80,225.0,"September 19, 1999",['Memphis'],False,True,320,7.6,5.7,1.0,48.4,30.4,60.6,51.4,14.0,11.8,1630173,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png
Alex Acker,2006,2009,['Guard'],77,185.0,"January 21, 1983",['Pepperdine'],False,False,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2,101165,https://cdn.nba.com/headshots/nba/latest/1040x760/101165.png
Don Ackerman,1954,1954,['Guard'],72,183.0,"September 4, 1930",['Long Island University'],False,False,28,1.5,0.5,0.8,22.2,,53.6,,1.0,-0.6,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Mark Acres,1988,1993,"['Forward', 'Center']",83,220.0,"November 15, 1962",['Oral Roberts'],False,False,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3,76009,https://cdn.nba.com/headshots/nba/latest/1040x760/76009.png
Bud Acton,1968,1968,['Forward'],78,210.0,"January 11, 1942",['Hillsdale College'],False,False,23,3.3,2.0,0.5,39.2,,65.5,,9.5,0.1,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Quincy Acy,2013,2019,"['Forward', 'Center']",79,240.0,"October 6, 1990",['Baylor'],False,False,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7,203112,https://cdn.nba.com/headshots/nba/latest/1040x760/203112.png
Alvan Adams,1976,1988,"['Center', 'Forward']",81,210.0,"July 19, 1954",['Oklahoma'],False,False,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5,76011,https://cdn.nba.com/headshots/nba/latest/1040x760/76011.png
Don Adams,1971,1977,['Forward'],78,210.0,"November 27, 1947",['Northwestern'],False,False,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7,76012,https://cdn.nba.com/headshots/nba/latest/1040x760/76012.png
George Adams,1973,1975,"['Forward', 'Guard']",77,210.0,"May 15, 1949",['Gardner-Webb University'],False,False,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,13.9,6.6,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Hassan Adams,2007,2009,['Guard'],76,220.0,"June 20, 1984",['Arizona'],False,False,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8,200801,https://cdn.nba.com/headshots/nba/latest/1040x760/200801.png
Jaylen Adams,2019,2021,['Guard'],72,225.0,"May 4, 1996",['St. Bonaventure'],False,False,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7.0,0.0,1629121,https://cdn.nba.com/headshots/nba/latest/1040x760/1629121.png
Jordan Adams,2015,2016,['Guard'],77,209.0,"July 8, 1994",['UCLA'],False,False,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4,203919,https://cdn.nba.com/headshots/nba/latest/1040x760/203919.png
Michael Adams,1986,1996,['Guard'],70,162.0,"January 19, 1963",['Boston College'],False,False,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,149,https://cdn.nba.com/headshots/nba/latest/1040x760/149.png
Steven Adams,2014,2025,['Center'],83,265.0,"July 20, 1993",['Pitt'],False,True,764,8.8,8.0,1.5,58.6,5.9,53.3,58.6,17.1,61.6,203500,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png
Rafael Addison,1987,1997,"['Forward', 'Guard']",79,215.0,"July 22, 1964",['Syracuse'],False,False,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9,912,https://cdn.nba.com/headshots/nba/latest/1040x760/912.png
Bam Adebayo,2018,2025,"['Center', 'Forward']",81,255.0,"July 18, 1997",['Kentucky'],False,True,567,15.7,8.9,3.6,53.7,31.4,75.6,54.5,19.8,57.6,1628389,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
Deng Adel,2019,2019,['Forward'],79,200.0,"February 1, 1997",['Louisville'],False,False,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2,1629061,https://cdn.nba.com/headshots/nba/latest/1040x760/1629061.png
Rick Adelman,1969,1975,['Guard'],73,175.0,"June 16, 1946",['Loyola Marymount'],True,False,462,7.7,2.4,3.5,41.5,,71.3,,11.3,10.0,76015,https://cdn.nba.com/headshots/nba/latest/1040x760/76015.png
